"16","16","200","4000"
"2000","16","8","4000"
"16","16","8","4000"
"2000","2000","200","4000"
"2000","2000","8","4000"
"2000","2000","8","16"
"2000","16","200","4000"
"16","2000","8","16"
"16","16","200","16"
"2000","2000","200","16"
"16","2000","8","4000"
"16","2000","200","16"
"2000","16","200","16"
"2000","16","8","16"
"16","2000","200","4000"
"16","16","8","16"
"2000","2000","200","16"
"16","16","8","16"
"2000","16","8","16"
"16","16","200","16"
"2000","2000","200","4000"
"16","2000","200","16"
"2000","2000","8","4000"
"16","16","200","4000"
"2000","2000","8","16"
"16","2000","200","4000"
"2000","16","8","4000"
"2000","16","200","4000"
"16","16","8","4000"
"16","2000","8","16"
"16","2000","8","4000"
"2000","16","200","16"
"2000","16","200","16"
"16","2000","8","16"
"2000","2000","200","4000"
"2000","2000","8","4000"
"16","16","8","16"
"16","16","8","4000"
"16","2000","8","4000"
"16","16","200","16"
"2000","16","200","4000"
"16","2000","200","4000"
"16","16","200","4000"
"2000","16","8","16"
"2000","2000","8","16"
"2000","2000","200","16"
"16","2000","200","16"
"2000","16","8","4000"
